,Category_Pair_Name,Count
0,Industrial_FactoryAutomation&Industrial_PowerAndEnergy,222
1,Industrial_FactoryAutomation&SmartHome_HomeAppliances,196
2,Industrial_PowerAndEnergy&SmartHome_HomeAppliances,190
3,SmartHome_HomeAppliances&SmartHome_HomeControlAndSecurity,189
4,Industrial_FactoryAutomation&SmartHome_HomeControlAndSecurity,188
5,Industrial_PowerAndEnergy&SmartHome_HomeControlAndSecurity,182
6,SmartHome_HomeControlAndSecurity&SmartHome_HomeEntertainment,180
7,SmartHome_HomeAppliances&SmartHome_HomeEntertainment,179
8,Mobile_Wearables&SmartHome_HomeControlAndSecurity,174
9,Mobile_Wearables&SmartHome_HomeEntertainment,173
10,Mobile_Wearables&SmartHome_HomeAppliances,170
