,Automotive_ADASAndHighlyAutomatedDriving,Automotive_All,Automotive_AutomotiveConnectivity,Automotive_BodyAndComfort,Automotive_InfotainmentAndInVehicleExperience,Automotive_PowertrainAndVehicleDynamics ,Automotive_VehicleNetworking,CommunicationInfrastructure_All,CommunicationInfrastructure_DataCenterInfrastructure,CommunicationInfrastructure_EnterpriseNetworking,CommunicationInfrastructure_WiredNetworkInfrastructure,CommunicationInfrastructure_WirelessNetworkInfrastructure,Industrial_AerospaceAndMobileRobotics,Industrial_All,Industrial_BuildingControl,Industrial_FactoryAutomation,Industrial_Healthcare,Industrial_PowerAndEnergy,Mobile_Accessories,Mobile_All,Mobile_Portable,Mobile_Wearables,SmartCity_Access,SmartCity_All,SmartCity_Identification,SmartCity_Payment,SmartCity_Retail,SmartCity_SmartCityInfrastructure,SmartCity_Transportation,SmartHome_All,SmartHome_HomeAppliances,SmartHome_HomeControlAndSecurity,SmartHome_HomeEntertainment
Automotive_ADASAndHighlyAutomatedDriving,0,74,7,25,0,46,6,26,0,11,21,25,17,71,0,67,40,64,39,43,14,41,1,54,5,26,5,0,0,0,58,47,45
Automotive_All,0,0,19,123,0,148,23,66,0,30,59,64,30,253,0,238,136,211,164,178,20,168,8,190,20,81,44,0,0,0,199,189,177
Automotive_AutomotiveConnectivity,0,0,0,7,0,6,2,8,0,6,7,8,4,18,0,18,13,13,8,11,0,10,0,15,3,6,8,0,0,0,15,11,12
Automotive_BodyAndComfort,0,0,0,0,0,74,10,20,0,9,18,19,12,124,0,116,82,117,98,108,14,100,6,96,17,45,21,0,0,0,115,116,108
Automotive_InfotainmentAndInVehicleExperience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Automotive_PowertrainAndVehicleDynamics ,0,0,0,0,0,0,9,28,0,8,25,26,14,146,0,147,71,130,107,115,14,108,3,115,9,38,20,0,0,0,120,124,112
Automotive_VehicleNetworking,0,0,0,0,0,0,0,11,0,6,10,11,3,21,0,18,7,16,7,7,0,7,0,12,0,10,2,0,0,0,10,8,6
CommunicationInfrastructure_All,0,0,0,0,0,0,0,0,0,43,73,80,12,77,0,68,28,68,26,29,2,29,1,51,2,39,10,0,0,0,40,31,26
CommunicationInfrastructure_DataCenterInfrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommunicationInfrastructure_EnterpriseNetworking,0,0,0,0,0,0,0,0,0,0,32,36,7,38,0,34,12,32,9,9,0,9,0,13,1,7,4,0,0,0,17,10,8
CommunicationInfrastructure_WiredNetworkInfrastructure,0,0,0,0,0,0,0,0,0,0,0,74,10,70,0,64,29,62,23,26,3,26,2,50,3,38,12,0,0,0,35,27,24
CommunicationInfrastructure_WirelessNetworkInfrastructure,0,0,0,0,0,0,0,0,0,0,0,0,12,75,0,67,29,66,24,27,2,27,1,50,2,38,11,0,0,0,38,29,25
Industrial_AerospaceAndMobileRobotics,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,15,27,12,16,3,14,0,25,2,16,3,0,0,0,23,17,16
Industrial_All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,155,240,169,183,21,174,9,200,20,86,45,0,0,0,209,195,180
Industrial_BuildingControl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial_FactoryAutomation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,222,161,175,21,164,9,190,19,78,46,0,0,0,196,188,170
Industrial_Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,105,110,18,105,6,120,17,54,34,0,0,0,122,116,113
Industrial_PowerAndEnergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,171,20,161,9,177,19,79,34,0,0,0,190,182,169
Mobile_Accessories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,21,160,8,152,15,56,28,0,0,0,166,167,164
Mobile_All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,174,8,163,15,58,36,0,0,0,179,180,178
Mobile_Portable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,19,4,8,2,0,0,0,19,21,20
Mobile_Wearables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,154,12,57,33,0,0,0,170,174,173
SmartCity_Access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5,8,0,0,0,8,9,8
SmartCity_All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99,46,0,0,0,173,164,163
SmartCity_Identification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,19,16,18
SmartCity_Payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,66,59,60
SmartCity_Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,37
SmartCity_SmartCityInfrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmartCity_Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmartHome_All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmartHome_HomeAppliances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,179
SmartHome_HomeControlAndSecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
SmartHome_HomeEntertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
